Este,Norte,Cota,recpe_og,recpe_val,distancia_m
9168.51,24644.047,2234.82,14.8,16.21149635,8.26
9138.208,24802.777,2209.437,14.2,14.96818829,6.48
9071.489,25001.224,2080.171,16.5,16.64534378,4.59
9113.42,24850.564,2137.583,19.8,19.25146866,2.5
9009.014,25049.252,2136.591,16.6,17.46084785,4.47
9043.656,25050.966,2084.001,17.5,17.67047119,7.49
8896.544,25273.767,2220.41,23.3,25.1240406,7.37
9209.802,25047.189,2179.258,12.7,12.58724499,5.8
8915.437,25157.373,2092.037,18.5,22.22337723,4.91
9011.498,25087.536,2094.268,22.3,21.09689903,6.33
9104.96,25046.771,2087.953,16.8,16.98435211,4.61
8958.989,25048.286,2128.738,21.3,21.22155952,7.45
9025.024,24996.965,2141.705,22.9,21.81699944,6.95
9184.906,24947.488,2236.983,21.2,20.62648773,7.44
9202.591,24947.151,2189.149,23.8,23.06531715,8.46
9154.807,24910.028,2132.912,19.1,19.37433815,5.22
9102.418,24909.079,2202.363,16.9,17.25343323,6.48
9193.899,24782.66,2198.156,18.7,19.00683784,5.32
8981.244,25570.798,2163.617,16.4,17.87942696,5.66
8985.26,25581.47,2160.52,19.8,19.65263367,9.23
9048.011,25598.299,2164.725,19.5,19.93158531,5.87
9036.016,25339.931,2059.446,27.4,25.17614746,8.1
9087.897,25679.261,2160.895,12.9,13.77828121,7.42
9080.64,25679.899,2138.816,12.4,12.92814732,5.15
9137.079,25045.5,2095.247,19.4,19.01790619,3.98
9174.964,25049.175,2245.646,24.9,23.92398453,3.56
9132.332,25143.291,2075.454,16.8,15.95504665,6.7
8700.032,23604.571,1906.354,41.57,41.56999969,8.43
9011.706,23703.441,2064.365,29.46,28.79816818,7.04
9031.884,23703.831,2029.252,26.79,25.91469193,7.77
8626.29,23802.141,2205.981,23.44,22.20000076,69.41
8877.836,23803.784,1801.859,37.6,37.03915024,6.44
8925.923,23802.574,1733.914,33.38,33.85412979,1.69
8665.476,23900.856,2134.819,22.25,23.27000046,11.92
8711.764,23899.764,2044.779,23.27,22.08641624,8.4
8787.671,23900.829,1889.056,39.85,36.01231766,9.73
8978.734,23901.286,2120.061,25.02,23.78772545,7.65
9027.013,23902.364,2030.22,19.27,17.79468346,5.97
9050.126,23796.774,2085.112,28.16,24.03421593,10.54
8858.923,23797.428,2157.081,22.08,20.61049271,7.88
8817.198,24001.906,2237.681,36.46,34.20262527,6.89
8898.915,24004.624,2096.097,31.68,26.71114159,8.89
8681.379,23999.152,2109.7,29.1,30.27000046,4.55
8713.667,23999.104,2058.241,41.68,38.50941849,4.74
8762.251,23999.386,1983.378,43.35,37.41538239,5.3
8690.11,23710.989,2218.315,8.31,21.80999947,75.08
8816.552,24095.501,2011.738,28.33,25.80843925,9.2
8835.374,24203.585,1996.557,16.74,18.3786602,7.13
8858.187,24204.686,1927.486,22.09,21.42614365,4.25
8913.441,24207.801,1756.207,22.39,22.07936859,6.49
9050.965,24203.257,1263.665,23.58,23.57999992,7.0
8777.834,24301.351,2144.872,23.94,21.84529305,8.79
9020.232,24306.17,1488.503,36.24,34.63669205,8.88
9061.478,24307.872,1371.047,15.59,15.62246895,5.99
9215.323,23699.381,1964.187,31.13,31.12999916,6.95
9155.354,24100.247,2178.979,28.26,28.26000023,4.2
9167.337,24100.085,2159.057,24.55,22.47382927,7.37
8599.8,24045.4,1953.3,59.66,48.6161232,7.01
8604.3,24045.1,1942.2,35.66,36.45808792,2.71
8606.3,24044.9,1937.4,22.91,36.45808792,5.78
8608.6,24044.7,1931.8,22.55,23.73302841,6.02
8628.2,24043.0,1883.1,29.73,28.92584419,3.29
8631.4,24042.7,1875.0,34.09,34.09000015,8.32
9046.7,23694.7,2027.3,21.23,24.83356857,6.15
