Este_val,Norte_val,Cota_val,recpe_og,recpe_val,KNN,RandomForest,GradientBoosting,XGBoost
8965.0,25497.5,1777.5,17.1,17.16914177,17.385609824521747,16.2,16.602912126786688,16.480104
9035.0,26157.5,1822.5,18.3,18.21307182,17.19241092241634,16.660782336493586,18.185859329758994,18.07814
9005.0,25557.5,1702.5,16.0,16.29027939,16.4,16.09912167602496,16.90409112548343,16.901503
9045.0,25902.5,1837.5,15.4,15.38771534,15.595895401296293,14.930074738986622,15.393427584005705,15.028196
8905.0,25107.5,1417.5,20.4,20.01387024,17.507436498060688,15.339061672521016,15.40399781064268,15.684867
8905.0,26217.5,1432.5,15.8,15.80000019,15.626318151507922,15.599904511701215,15.353411796573933,15.8263
8965.0,25377.5,1657.5,21.2,21.19844437,19.239378928522953,16.19913454627448,16.401998830004786,16.39988
8965.0,25377.5,1492.5,15.5,15.5,15.3193895290542,15.487664422092411,15.4,16.2
9045.0,26202.5,1852.5,16.9,16.83794022,16.870899599306245,16.40535164755359,16.8,15.543193
8975.0,25227.5,1717.5,20.4,20.42209435,19.634000815556195,16.31,16.7,17.046703
8905.0,25992.5,1687.5,22.0,22.0,19.72428689629253,15.604377710684497,16.03929694232372,15.69
8975.0,26202.5,1597.5,14.3,15.76309776,15.36,16.262209137056914,17.5,16.50895
8955.0,24807.5,1522.5,21.6,21.12189865,19.42428707777897,15.576023214495468,15.630473310941593,16.105886
8975.0,24807.5,1477.5,10.6,10.9648962,12.416801768935635,15.152961343235571,15.298211892670627,14.70973
8915.0,24837.5,1372.5,19.1,18.73090363,16.674431255664963,15.028368664409138,14.001482361928582,14.131193
8935.0,24837.5,1327.5,10.2,11.28322887,11.82420639538215,13.678559280500531,12.190837383833822,12.898566
8965.0,26202.5,1627.5,23.5,22.53435516,20.576388425573214,16.399255220229787,17.522387943232495,16.009375
9025.0,26787.5,1672.5,15.4,15.39999962,15.499091106336685,15.687351558506602,15.594551879357692,16.202059
9025.0,26592.5,1762.5,14.8,14.76724434,14.863310394589655,15.69,15.537584758378147,16.202059
8915.0,25152.5,1552.5,16.0,15.94982433,15.873401837380806,15.958633194807799,15.897493751362742,16.841736
9105.0,24387.5,1372.5,15.1,15.19096088,15.64065060605875,16.0,14.776353907931178,15.497636
8875.0,24957.5,1312.5,15.1,14.61026955,14.280847012486243,13.951381051102194,14.309415756828107,14.008027
9035.0,26022.5,1747.5,14.1,14.17712879,14.424822552998835,15.677074051748534,15.199102246086412,15.602148
8885.0,24957.5,1282.5,14.3,14.01377106,13.8,13.889745650560943,14.297573716267138,13.850618
9135.0,24747.5,1747.5,13.2,15.12967014,14.798477176232703,14.928604026487385,14.504266539995847,14.33238
9045.0,26007.5,1807.5,14.8,14.83963299,15.125817824320594,15.0580121523567,14.689974585907983,15.321076
8945.0,25812.5,1567.5,14.7,14.56654739,14.705197771704855,15.36,15.4,15.5
8995.0,25647.5,1747.5,21.0,20.64297867,18.50818574769293,16.204650664340694,16.34939920020009,16.7
8925.0,25407.5,1612.5,15.6,15.76394367,15.731010542502913,15.842214240230156,15.5782834791168,16.120342
8945.0,25707.5,1687.5,22.5,20.87524223,19.217426921362115,15.94638254821534,16.205375186978426,15.852594
8895.0,24987.5,1267.5,12.6,12.3397274,13.016293378155563,13.852091405862543,13.968723436893093,13.792405
8805.0,25497.5,1627.5,16.2,16.14918137,15.82350337008003,15.666695434514448,16.329533030227466,16.248655
9145.0,24747.5,1732.5,18.5,17.26836014,16.71911772840821,15.039836860912255,15.04557745543264,14.622013
8945.0,25812.5,1612.5,13.9,13.91422272,14.875840788620861,15.36,15.4,15.5
9045.0,25587.5,1777.5,14.9,16.48135757,15.260458319327252,16.0049917051803,16.8,16.244963
9045.0,24972.5,1732.5,17.2,17.19075966,17.195912013609306,16.2,17.318157638727936,17.51
9095.0,24972.5,1822.5,16.4,16.66834831,16.481189195022797,15.928688390888768,16.24945058559719,16.710266
9095.0,24972.5,1807.5,18.8,18.01652718,17.46345117772883,15.915579206104908,16.24945058559719,16.710266
8925.0,25707.5,1642.5,12.7,13.4954567,14.103687610222938,15.608613709905166,15.831725023506445,15.629454
8755.0,25812.5,1402.5,14.7,14.69999886,14.8,14.887615207513496,15.109574708236256,14.293834
8825.0,25797.5,1552.5,18.9,17.15582657,17.848070714659297,15.541455078977863,14.815022639691959,15.411622
9135.0,24777.5,1792.5,14.0,14.16794395,14.7,14.906971793276938,14.924880126324258,14.84648
9075.0,24387.5,1537.5,22.8,23.05593872,23.01808988060046,16.8,16.097947378972414,16.340853
9245.0,24432.5,1597.5,13.3,13.30000019,14.18519836493231,15.210502651356334,16.275307810593546,16.8
9145.0,24837.5,1822.5,13.1,13.14932156,13.679108129440477,15.048819252647819,15.21741783478361,15.1
9015.0,24597.5,1327.5,11.0,11.11972904,11.627345420885453,13.97626864508939,12.556447256824336,13.409439
9025.0,24597.5,1282.5,14.5,14.37736511,14.330181335020749,14.01,13.776577281400588,13.671081
