block_id,xcentre,ycentre,zcentre,xlength,ylength,zlength,recpe,ue
1976740,8635.0,25782.5,1117.5,10.0,15.0,15.0,12.0,2
1976741,8635.0,25797.5,1117.5,10.0,15.0,15.0,12.0,2
1976742,8635.0,25782.5,1132.5,10.0,15.0,15.0,12.0,2
1976743,8625.0,25797.5,1117.5,10.0,15.0,15.0,12.0,2
1976744,8645.0,25782.5,1132.5,10.0,15.0,15.0,12.0,2
1976745,8655.0,25782.5,1117.5,10.0,15.0,15.0,12.0,2
1976746,8655.0,25782.5,1132.5,10.0,15.0,15.0,12.0,2
1976747,8655.0,25797.5,1117.5,10.0,15.0,15.0,12.0,2
1976748,8645.0,25797.5,1117.5,10.0,15.0,15.0,12.0,2
1976749,8645.0,25797.5,1132.5,10.0,15.0,15.0,12.00000095,2
1976750,8645.0,25782.5,1117.5,10.0,15.0,15.0,12.0,2
1976751,8655.0,25797.5,1132.5,10.0,15.0,15.0,12.00000095,2
1976752,8675.0,25782.5,1117.5,10.0,15.0,15.0,12.0,2
1976753,8665.0,25782.5,1132.5,10.0,15.0,15.0,12.0,2
1976754,8665.0,25797.5,1132.5,10.0,15.0,15.0,12.0,2
1976755,8675.0,25782.5,1132.5,10.0,15.0,15.0,12.00000095,2
1976756,8665.0,25782.5,1117.5,10.0,15.0,15.0,12.0,2
1976757,8665.0,25797.5,1117.5,10.0,15.0,15.0,12.0,2
1976758,8675.0,25797.5,1117.5,10.0,15.0,15.0,12.0,2
1976759,8675.0,25797.5,1132.5,10.0,15.0,15.0,11.99999905,2
1976761,8685.0,25782.5,1117.5,10.0,15.0,15.0,12.0,2
1976762,8685.0,25782.5,1132.5,10.0,15.0,15.0,12.0,2
1976763,8685.0,25797.5,1117.5,10.0,15.0,15.0,12.0,2
1976764,8695.0,25797.5,1132.5,10.0,15.0,15.0,12.00000095,2
1976765,8695.0,25782.5,1132.5,10.0,15.0,15.0,12.0,2
1976767,8685.0,25797.5,1132.5,10.0,15.0,15.0,12.00000095,2
1976768,8705.0,25797.5,1132.5,10.0,15.0,15.0,12.0,2
1976775,8705.0,25782.5,1132.5,10.0,15.0,15.0,12.0,2
1977929,8585.0,25827.5,1132.5,10.0,15.0,15.0,12.0,2
1977931,8585.0,25812.5,1132.5,10.0,15.0,15.0,12.0,2
1977932,8595.0,25812.5,1132.5,10.0,15.0,15.0,12.0,2
1977933,8595.0,25827.5,1132.5,10.0,15.0,15.0,12.0,2
1977936,8605.0,25827.5,1132.5,10.0,15.0,15.0,12.0,2
1977938,8615.0,25812.5,1117.5,10.0,15.0,15.0,12.0,2
1977939,8615.0,25812.5,1132.5,10.0,15.0,15.0,12.0,2
1977940,8615.0,25827.5,1132.5,10.0,15.0,15.0,12.0,2
1977941,8615.0,25827.5,1117.5,10.0,15.0,15.0,12.0,2
1977943,8605.0,25812.5,1132.5,10.0,15.0,15.0,12.0,2
1977944,8625.0,25827.5,1132.5,10.0,15.0,15.0,12.0,2
1977945,8635.0,25827.5,1117.5,10.0,15.0,15.0,12.0,2
1977946,8635.0,25812.5,1117.5,10.0,15.0,15.0,12.0,2
1977947,8635.0,25827.5,1132.5,10.0,15.0,15.0,11.99999905,2
1977948,8625.0,25812.5,1132.5,10.0,15.0,15.0,12.0,2
1977949,8625.0,25812.5,1117.5,10.0,15.0,15.0,12.0,2
1977950,8625.0,25827.5,1117.5,10.0,15.0,15.0,12.0,2
1977951,8635.0,25812.5,1132.5,10.0,15.0,15.0,12.00000095,2
1977952,8655.0,25812.5,1117.5,10.0,15.0,15.0,12.0,2
1977953,8655.0,25812.5,1132.5,10.0,15.0,15.0,11.99999905,2
1977954,8655.0,25827.5,1132.5,10.0,15.0,15.0,12.0,2
1977955,8645.0,25827.5,1132.5,10.0,15.0,15.0,12.0,2
1977956,8645.0,25827.5,1117.5,10.0,15.0,15.0,12.0,2
1977957,8645.0,25812.5,1132.5,10.0,15.0,15.0,12.0,2
1977958,8655.0,25827.5,1117.5,10.0,15.0,15.0,12.0,2
